"zcta","18-24_ltHS","18-24_HSequiv","18-24_assoc","18-24_gtbach","gt25_lt9","gt25_ltHS","gt25_HSequiv","gt25_ltBach","gt25_assoc","gt25_bach","gt25_grad","gt25_HS","gt25_gtbach","25-34_HS","25-34_gtbach","35-44_HS","35-44_gtbach","45-64_HS","45-64_gtbach","gt65_HS","gt65_gtbach"
"00601",15.1,25.8,46.1,13.1,23.5,11.6,27.9,10.5,10.9,13.8,1.9,64.9,15.7,87.8,21.4,77.1,20.7,63.3,16.3,45.4,8.2
"00602",6.4,20.2,55.6,17.8,24.1,10.1,26.1,8,11.3,15.5,5,65.8,20.5,82.3,32.3,71,27.3,74.2,20.2,39.1,8.9
"00603",11.7,32,48.3,8,17.1,9.9,29.3,12.7,7.8,16.3,6.9,73,23.3,82.1,26.1,86,30,78.7,26.4,54,14.1
"00606",12.6,21.3,55.9,10.2,31.4,13.7,30.3,9.6,4.4,7,3.6,54.9,10.5,80.1,23.8,71.4,4.7,56.4,10.1,30.1,7.6
"00610",6.2,18,61.6,14.1,22.8,8.9,30.9,9.1,11.2,13.5,3.5,68.3,17,86,27.3,80.6,20.3,72.3,16.2,44.8,10.2
"00612",4.6,28.5,55.2,11.6,12.7,7.8,29.6,13.2,11.4,18.7,6.5,79.4,25.3,92.8,27.7,92.8,32.1,82.9,26.5,60.7,18.7
"00616",10,15.4,60.3,14.3,16.9,9.3,30.1,14.8,7.9,17.2,3.8,73.8,21,92.9,28.4,91.8,22.6,76.7,25.1,49.1,10
"00617",6.7,36.5,54,2.8,17.7,8.9,31.9,10.6,8.6,17.9,4.4,73.4,22.3,89.8,39.1,86.9,29,76.6,17.7,48.7,11.9
"00622",3.9,28.6,67.5,0,23,13,21.4,10.4,11.8,14.6,5.8,63.9,20.4,98.7,30.6,95.6,13.7,72,26,34.4,12.3
"00623",10.4,18.3,62.5,8.8,17.3,9.7,26.5,10.9,8.8,20.5,6.3,73,26.8,93.6,36.1,89.8,36.2,79.5,32.1,44.3,10.1
"00624",14.6,16.7,61.3,7.4,16.1,10.5,30.1,7.1,14.1,18.7,3.4,73.4,22.1,89.5,28.6,87,26.1,76.9,24.7,45.2,10.1
"00627",3.9,22.6,64.4,9.1,18,9.5,25,8.8,17.2,15.9,5.7,72.5,21.6,90.7,30,81.6,32.7,79.3,20.8,46.7,10.7
"00631",17.3,17.3,39.5,25.9,33.4,6.6,21.7,8.7,11.7,13.9,4.2,60.1,18,93.7,40.8,100,35.8,58.6,10.6,26.4,4.8
"00637",7.4,39.1,34.4,19.1,16.2,9.3,31.4,10.7,12,16.5,3.8,74.5,20.3,90.9,28.4,93.2,27.6,80,23.3,50.2,9.1
"00638",15.6,25.7,54.9,3.8,21.1,10.6,30.3,12.9,9.7,12.2,3.2,68.3,15.4,85.3,15.9,84.9,26.7,75.3,14.5,41.2,10.2
"00641",14.2,22.2,55,8.6,19.5,8,27.6,16.6,8.5,16.1,3.7,72.5,19.8,94.7,26.6,87.5,26.5,77.5,20,46.4,12.5
"00646",9.8,30.2,51.7,8.4,11.4,7.7,27.8,13.1,8.8,20.9,10.2,80.9,31.1,95.1,34.6,82.4,35.8,88.5,35.7,58.7,18.1
"00647",0,37.2,55.4,7.4,19,8.9,38.5,4.1,12,16.4,1.1,72.1,17.5,97.4,38.5,88.4,31.9,73.4,13.7,56,8.1
"00650",10.5,35.2,53,1.3,14.8,8.3,34.7,15.3,11.2,12.2,3.5,76.9,15.7,91.7,21.6,88.2,14.5,89.3,18.5,43.6,8.6
"00652",11.2,18.9,56.2,13.7,16.7,9.1,19.2,15.4,10.6,23,6,74.2,29,88.1,12.6,88.3,40.3,82.3,32.2,49.9,22.6
"00653",17.6,38.5,29.7,14.2,18.1,14,34.5,8,10.7,10.3,4.5,67.9,14.8,80.9,23.5,84.6,14.3,74.7,19,44.8,6.3
"00656",10.6,19.8,64,5.5,14.2,8.7,31.5,7.4,13.6,19.3,5.4,77.1,24.7,91.2,39.1,88.3,32.5,78.2,21.4,61.1,15.8
"00659",5.6,15.6,64.4,14.4,19.1,6.3,23,6.8,17.8,19.6,7.3,74.5,26.9,93.6,35,93.1,36.7,77.5,27.2,46.8,15.2
"00660",5.6,17,76.8,0.6,15.9,6.6,31.3,13.4,8.8,18.7,5.3,77.5,23.9,96.1,24,92.5,36.4,84.7,29.9,57.7,13.2
"00662",15.7,16.7,59.2,8.4,19.6,8.4,28.1,9.6,9.8,17.4,7,72,24.5,86.1,31.5,81.9,32,76.5,23.5,51,16.6
"00664",10.5,25.2,64.2,0,15.9,6.7,37.8,13.4,6,14.3,5.9,77.4,20.2,90,27.4,86.9,20.3,82,22.1,53.3,11.8
"00667",14,36.1,41.2,8.7,20.1,13.7,27.9,8.5,12.5,13.4,3.8,66.1,17.3,85.5,33.3,77.8,13.3,72.2,19.7,46.9,10.2
"00669",10.5,25.4,61.9,2.3,22.9,11.1,25,9.6,12.3,14.8,4.2,65.9,19,82,27.5,83.2,19.8,68.4,18.4,41.9,14.1
"00670",9.2,37.4,40.9,12.5,26.7,9.3,35.5,4.1,7.1,15.3,2,64,17.3,90.2,20.7,78,33.2,65.5,17.1,39.6,6.9
"00674",6.1,35.9,52,6,16.3,9.2,29.6,12.5,9,17.7,5.6,74.5,23.4,92,26.7,90,39.1,82.5,24.6,46.6,11.4
"00676",6.6,34.2,49.1,10.1,19.1,10.8,31,11.2,6.6,15.4,5.8,70.1,21.3,86.5,24.6,83,30.3,76,22.9,40.1,9.8
"00677",3.6,22.8,71.1,2.5,19.2,9.4,26.1,8.5,14.3,17.4,5,71.3,22.4,85.2,34.1,77.9,22,83.3,29.1,48.8,10.3
