"store_name","store_id","review_count","ratings","categories","food_desert"
"Captain D's","59PZLJi5-SVfmeaJoXX0fw",4,3.5,"seafood,hotdogs,tradamerican",1
"Popeyes Louisiana Kitchen","4cMH1c2dPcyEjCoAU-EndQ",8,3,"chicken_wings,hotdogs",1
"Wendy's","9TWVAP1uubHxcr4wveXY6w",9,3,"hotdogs,burgers",1
"Chick-fil-A","fTm-hODqvLVtIWZYRGsHNQ",20,2.5,"hotdogs,chickenshop",1
"The Port","M4OtgdAd60ewzattFh6CTQ",10,4.5,"tradamerican,burgers,hotdogs",1
"Grillshack Fries and Burgers","luS7HvNPlO3lyLkG40C_eA",43,5,"burgers,chicken_wings,hotdogs",1
"Cook Out","yK5WnMiXZe5hmNFx0xXb-w",182,3.5,"hotdog,burgers,hotdogs",1
"Pecker's Bar & Grill","bg4byZlEDCUVbC16VHxjlA",12,4.5,"gaybars,hotdogs",1
"Potbelly Sandwich Shop","Qg17JxnBMiRDEM5uE5yzOA",77,4,"sandwiches,hotdogs,salad",1
"Daddy’s Dogs","GLH_fQI9epIC-8t2oOSpoQ",46,4,"hotdog,hotdogs,foodstands",1
"Blaze Pizza","5Z26BrC0uVwQXxVARTRoug",629,4,"salad,pizza,hotdogs",1
"Grano de Mostaza","O8WZHzFUvA6GlKKnDv0lPw",24,4.5,"hotdogs,venezuelan",1
"Skyline Chili","dDSwD44ql1bh_BH-Qw77Eg",230,4.5,"hotdogs,hotdog",1
"Ichimora","jzFCxG75LDPmFpXVYvhezA",85,5,"japanese,hotdogs,noodles",1
"Blaze Pizza","3s4IvzhPRwZ9YgN3d8ZfQg",289,4,"pizza,salad,hotdogs",1
"Chick-fil-A","s1bBCn2C5dYCk4_dOVqoSw",122,4,"hotdogs,chickenshop",1
"Del Taco","YLSdc9iJ-irbXm5_cmVSMg",180,3.5,"mexican,hotdogs",1
"Katsu Burger","Dm6grMEAldpQ9UM52O_-7w",176,4,"burgers,hotdogs,japanese",1
"Honey Bear Vietnamese Sandwich - Banh Mi","ldnK8qe4-Ijfol02aDwNBw",138,4.5,"sandwiches,hotdogs,vietnamese",1
"Frugals","OB6svZI6yKpa8E6cPzqxxA",222,4,"hotdogs,burgers",1
"Jimmy John's","a-YvWwzkAd-w6VWsW0sEhQ",17,3,"sandwiches,hotdogs,delis",1
"Five Guys","G01vpgoEWyYxESzZEij5sA",56,3.5,"burgers,hotdogs",1
"Semo's Restaurant","Uq-y9KERobbe95mVet8NWw",24,4.5,"hotdogs,pizza,tradamerican",1
"El Diablo Burritos","n7XtDJQVnxb1UzPPzlOlHQ",176,4.5,"tex-mex,tacos,hotdogs",1
"El Diablo Burritos","qFsh80AAL90tkOc0n98bqg",311,4.5,"tacos,tex-mex,hotdogs",1
"Five Guys","Pemw-q5Z7gzNjgpgc8SRYg",25,3.5,"burgers,hotdogs",1
"Potbelly Sandwich Shop","uY1A0X7xduV63pPoVsUCNA",21,3.5,"hotdogs,sandwiches,salad",1
"Halo Burger","-YWCRAHpjy7R_QwreCRJ-w",33,3,"burgers,hotdogs,breakfast_brunch",1
"Captain Cotys","yGOacABauaaFt6EsQu2fyQ",13,3.5,"tradamerican,comfortfood,hotdogs",1
"Halo Burger","APQ9lvaH3UH7wClDX8wvpw",17,4,"burgers,hotdogs",1
"Zaxby's Chicken Fingers & Buffalo Wings","LvhZtkPwySfwZwAoSrhIsA",22,4.5,"chicken_wings,hotdogs,salad",1
"Culver's","g60oktJk9CBonFuwiPJPSA",53,3.5,"hotdogs,burgers,icecream",1
"Chick-fil-A","AUEqZMM7RnTPV3ZV7PwOmg",68,3.5,"hotdogs,chickenshop",1
"Dino's Sub and Pizza","b76NK6MvSTgqIOAKnV6qiw",58,3.5,"pizza,hotdogs,sandwiches",1
"Blaze Pizza","JIo1b0tAwoMQxbjvBXc_zw",53,4,"pizza,salad,hotdogs",1
"The Port","M4OtgdAd60ewzattFh6CTQ",10,4.5,"tradamerican,burgers,hotdogs",1
"Chick-fil-A","P52awngRptnwyENnmCv6Nw",92,3,"hotdogs,chickenshop",1
"Five Guys","9hrTBImpNTb8zPyZsx21gw",49,4,"burgers,hotdogs",1
"Jack Pirtle's Chicken","0m0BXJlpM_KtAbh54Twu-Q",24,3.5,"chicken_wings,hotdogs",1
"Margie's 901","preNKQxokiZ0_bXBPXKJmA",76,4,"icecream,bakeries,hotdogs",1
"American Deli","tAtoIBZnkfq4DHHzRG-Guw",2,1,"chicken_wings,hotdogs,tradamerican",1
"Burger King","k6b8xuO5fgU5YadJLw61wA",4,1.5,"burgers,hotdogs",1
"Pizza Hut","rOJPnhUgamx4HzUC7wUaxA",3,2.5,"pizza,chicken_wings,hotdogs",1
"Church's Chicken","21VJuZYtk6Pczs_pJLOSuA",3,2,"chicken_wings,hotdogs",1
"McDonald's","EJ4EIA2HvkfwrKsVC4BSpQ",9,2,"burgers,hotdogs,coffee",1
"Firehouse Subs","I7q-FLAbh9WeBLfclEiULw",20,4,"hotdogs,delis,sandwiches",1
"Chick-fil-A","MMQLZPtPcYm9NKlAfIYj9A",64,3,"hotdogs,chickenshop",1
"Guthrie's Chicken","CtoqSdXOZIyh5FO4LM9YEA",19,4,"hotdogs,chicken_wings,sandwiches",1
"Milo's Hamburgers","Fi_LP5PieeLnLIQv3YTh7Q",69,3.5,"burgers,hotdogs,tradamerican",1
"Eugene's Hot Chicken","_VFh0GXw0nwj8GNTIvLiCA",363,4.5,"foodtrucks,hotdogs,chickenshop",1
"My Place Restaurant","BkbZDSTtZ_kLhRfoKtxupg",24,3.5,"greek,tradamerican,hotdogs",1
"Jersey Mike's Subs","BT-L8PkQBawl0WLe16Xxew",66,4,"sandwiches,hotdogs,delis",1
"Taystee's Burgers","L1nGJSV5zYVtjEW9NbPJKA",61,4,"burgers,hotdogs",1
"Dairy Queen","KohV2ZXige_H3xO0jk_-hA",11,4.5,"hotdogs,icecream",1
"Basement Burger Bar","IE-bLlSjTFFlmFwoDLhCqg",444,4,"salad,burgers,hotdogs",1
"Burgers N Beyond","MCq6L4gnoVcru8tjFflOvw",50,4.5,"burgers,hotdogs,newamerican",1
"Griff's Hamburgers","wTaS42xZUFkEcXqtXGIueA",63,4,"hotdogs,burgers",1
"In-N-Out Burger","R1AXH6tCyKvWUPkWTilgYg",199,3.5,"burgers,hotdogs",1
"Rule the Roost","c6FCCTnBUF-hGjnj9U_sLg",182,4,"chickenshop,hotdogs,sandwiches",1
"In-N-Out Burger","CBSlHNiYdPAdbRkpkrnFuA",67,4,"burgers,hotdogs",1
"American Deli","tAtoIBZnkfq4DHHzRG-Guw",2,1,"chicken_wings,hotdogs,tradamerican",1
"Burger King","k6b8xuO5fgU5YadJLw61wA",4,1.5,"burgers,hotdogs",1
"Church's Chicken","21VJuZYtk6Pczs_pJLOSuA",3,2,"chicken_wings,hotdogs",1
