"zcta","year","population","aland10","count_sales_445110","popden_sales_445110","aden_sales_445110"
1001,2017,17537,11.50464,7,0.3991561,0.60845
1002,2017,30280,55.06465,4,0.1321004,0.0726419
1003,2017,11131,0.7113496,0,0,0
1005,2017,5014,44.26213,3,0.5983247,0.067778
1007,2017,14906,52.60103,3,0.2012612,0.0570331
1008,2017,1272,53.80195,0,0,0
1009,2017,384,0.8124945,0,0,0
1010,2017,3724,34.77022,2,0.5370569,0.0575205
1011,2017,1507,31.59495,0,0,0
1012,2017,531,13.11645,0,0,0
1013,2017,23026,5.632517,8,0.3474334,1.420324
1020,2017,30148,12.52504,10,0.331697,0.7984006
1022,2017,2604,4.772598,0,0,0
1026,2017,958,24.00548,0,0,0
1027,2017,17870,40.49974,2,0.1119194,0.049383
1028,2017,16156,12.93635,2,0.123793,0.1546031
1029,2017,728,15.84961,1,1.373626,0.063093
1030,2017,11211,11.81886,1,0.0891981,0.0846105
1031,2017,1151,8.113058,0,0,0
1032,2017,551,11.76364,2,3.629764,0.1700155
1033,2017,6300,27.81448,1,0.1587301,0.0359525
1034,2017,2313,71.63721,0,0,0
1035,2017,5301,23.08312,9,1.697793,0.3898953
1036,2017,5193,19.4844,1,0.1925669,0.0513231
1037,2017,772,14.10588,0,0,0
1038,2017,2897,9.989154,0,0,0
1039,2017,1129,13.21529,0,0,0
1040,2017,40362,21.16483,27,0.668946,1.275701
1050,2017,2334,38.32643,3,1.285347,0.078275
1053,2017,1658,5.13126,0,0,0
1054,2017,1997,22.79037,1,0.5007511,0.0438782
1056,2017,21331,27.19802,5,0.2344006,0.1838369
1057,2017,8801,44.94943,3,0.3408704,0.0667417
1060,2017,15729,10.92421,9,0.5721915,0.8238585
1062,2017,10587,18.15289,3,0.2833664,0.1652629
1063,2017,574,0.038804,0,0,0
1066,2017,9,0.7112485,0,0,0
1068,2017,1849,20.82088,1,0.5408329,0.0480287
1069,2017,8919,28.08925,3,0.3363606,0.1068024
1070,2017,637,20.59606,0,0,0
1071,2017,1206,15.5641,0,0,0
1072,2017,1490,20.07683,0,0,0
1073,2017,6090,28.15286,4,0.6568145,0.1420815
1074,2017,477,0.0850444,0,0,0
1075,2017,17755,17.71688,3,0.1689665,0.1693301
1077,2017,9711,30.82293,2,0.205952,0.0648867
1079,2017,480,1.124819,0,0,0
1080,2017,2532,1.726737,2,0.7898895,1.158254
1081,2017,1827,14.5155,1,0.5473454,0.0688919
1082,2017,10637,46.12767,3,0.2820344,0.0650369
1083,2017,3182,15.75273,1,0.3142678,0.0634811
1084,2017,183,9.18916,0,0,0
1085,2017,41652,59.71233,18,0.4321521,0.3014453
1086,2017,683,0.0371245,0,0,0
1088,2017,399,5.195924,0,0,0
1089,2017,28671,16.72668,15,0.5231767,0.8967708
1092,2017,1133,6.708771,0,0,0
1093,2017,348,5.042637,0,0,0
1094,2017,327,1.14182,0,0,0
1095,2017,14659,22.49485,4,0.2728699,0.1778184
1096,2017,2607,31.66475,1,0.3835827,0.0315809
1097,2017,54,1.873574,0,0,0
1098,2017,1186,31.3632,0,0,0
