"store_name","store_id","review_count","ratings","categories","food_desert"
"Jim's Market","zXsu5PpGUHOnuFQiGbRGoQ",1,4,"grocery",1
"Dollar General","2UI6RQ1nK9Bu0YrZbGaf-w",2,1,"grocery,discountstore",1
"Marion Walmart Neighborhood Market","8dv3v6zieubimwOzNCa3pQ",2,5,"deptstores,grocery",1
"Walmart Supercenter","zDvg2Zpvcd2k5isyJbbSmQ",20,2,"deptstores,grocery",1
"Kroger","5IOczs_0-7dFnGiOwyM4hg",9,4,"grocery,bakeries,delis",1
"The BE Hive","Yu_tXvUoyOj5SpeDUOZwnQ",53,4.5,"gourmet,grocery,catering",1
"Whole Foods Market - Nashville","KnsY8rh5tigp5t6WpilGdA",235,4,"healthmarkets,grocery,organic_stores",1
"Porter Road Butcher","HLyfHwyEioeD-C3j8z-5bA",117,4,"butcher,grocery",1
"Trader Joe's","mmIF5p4HqyrKSs805mm1lA",229,4.5,"grocery",1
"The Turnip Truck - Gulch","cvHY1RTAPSoH94ysP2_eyQ",147,4,"grocery,healthmarkets",1
"Trader Joe's","cYtXWMdRVaKUtpPx0gJtdA",161,4.5,"grocery",1
"Sea Salt Fish Market","xoH69b78RBzzebBjZ4Eojg",104,5,"seafoodmarkets,grocery",1
"Trader Joe's","5OJjVc2vk-lJfI_wVoPPNA",139,4.5,"grocery",1
"SASAYA Japanese Market","2hnO5pnoEu_WdV3WfMVhJA",191,4.5,"grocery,sushi",1
"Meal In A Pie","mIZl0IS2zDebPW_7__8zog",122,4.5,"grocery,bakeries,southafrican",1
"WinCo Foods","zR6krq9ihe4kzQ9k241IrQ",49,4,"grocery",1
"Kusher Bakery","kpzYFxD--qJfI510nFGIhQ",20,4.5,"grocery,bakeries,convenience",1
"Haggen Food & Pharmacy","WQP15pGTL1SiEa5kqJAhgw",78,3,"grocery,delis,butcher",1
"Trader Joe's","Vb-9ahsIWMLm1sU5nk6bSg",139,4.5,"grocery",1
"Marlene's Market & Deli","2ng52_awXpyqABI64Xzvhg",168,4.5,"healthmarkets,delis,grocery",1
"Jalisco Mexican Grocery Store","Hz4tFQPFccaUdlCKSPYDBw",14,4.5,"grocery",1
"Janssen's Market","PAi6ZgsYrbhHeyNcp26QIw",56,3.5,"grocery",1
"Sprouts Farmers Market","Er7z9IDGqWO4O2sA2eIegg",22,4,"grocery,organic_stores,healthmarkets",1
"Casapulla's Elsmere Steak & Sub Shop","5c_jYz4IolgGdrJLabSTew",52,4,"grocery,delis,sandwiches",1
"Trader Joe's","25btSWnOGwwB2IQMXF7A-A",99,4.5,"grocery",1
"Longhorn Meat Market","181F_T66DQzzdlTkn9ppFQ",5,4,"grocery,meats",1
"The Local Grocer","ziWUY-Vqg_Xe-E25PnOt2A",3,4.5,"markets,grocery",1
"Seoul Market","Lvmati8d5PQmF2hZO3MYYQ",6,4.5,"grocery",1
"Beirut Restaurant and Grocery","w4EWout_LrewmTZ6ZyEMCA",6,4.5,"grocery,lebanese",1
"The Local Grocer","xmeae2_tXqhl3hsrkhfvXg",7,4,"delis,grocery",1
"ALDI","1_GqMxDqZkY6JrCPiRYg7w",14,4,"grocery,markets,organic_stores",1
"Publix Supermarket at Southgate Shopping Center","igz0LFaSoRef-t30luOx2Q",15,3,"grocery",1
"Dollar General Market","4m8kkwRgGesxVLRXhDl0XQ",8,4,"discountstore,grocery",1
