"store_id","review_1","review_2","review_3","rating_1","rating_2","rating_3","food_desert"
"zXsu5PpGUHOnuFQiGbRGoQ","Another nice corner store in West Memphis Arkansas. I stop here everyday before I go to work to pick up one thing that I need. They are always packed with...",NA,NA,4,NA,NA,1
"2UI6RQ1nK9Bu0YrZbGaf-w","The girl that calls herself the manager is rude and a smart aleck.  The store is filthy.   There are boxes always in the isles that make maneuvering the...","My shopping experience  today was lacking professional behavior  and respect from the employee/manager. I shopped around the store and used the store's app...",NA,1,1,NA,1
"8dv3v6zieubimwOzNCa3pQ","I love this location. All of the staff is super friendly! This location is on top on its cleanliness. Although it is smaller than the super center down the...","Love this location. Staff is friendly. Shelves always stocked and a lot cleaner then your normal Walmart grocery.",NA,5,5,NA,1
"zDvg2Zpvcd2k5isyJbbSmQ","This Walmart is probably safer than most Walmarts in Memphis.

Your greatest chance of violence here 
is being bitten by mosquitoes.

Do not shop here on...","What a beautiful establishment. They have a very reasonable selection of meats but can be expensive sometimes depending on what's available in stock. Can...","This rating goes for most all the Walmart stores in the Memphis area. We have called multiple stores with similar results. The store in West Memphis was the...",4,3,1,1
"5IOczs_0-7dFnGiOwyM4hg","I love Kroger I can always get a riding cart because I am handicapped  they have weekly sales, they keep fresh meat and the workers are so helpful and the...","I want one of these in Alabama!!!!!!! 

Great store. Great prices. Floored at the produce variety. Friendly cashier. I throughly enjoyed my walk through the...","For a food store it was a little on the dirty side. I would expect it to be maintained a little better.",5,5,2,1
"Yu_tXvUoyOj5SpeDUOZwnQ","SO GOOD! I'm not even vegan or vegetarian but this food slapped! I got the Nashville hot chicken sandwich and my boyfriend got the crunch wrap. 

The...","This is a vegan deli, which is an odd new trend (there's one in Cincinnati, and a few in more coastal cities). It just seems like such a contradiction, and...","Oh my goodness, sooooooo good! We just stumbled onto the place, thought there was no way all the products could be plant-base and taste delicious, and we...",5,4,5,1
"KnsY8rh5tigp5t6WpilGdA","Whole Foods has always been a delightful place to shop in the past, and yes they rightly earned their nickname ""Whole Paycheck."" Since 2010, I've shopped at...","Solid spot!

It's in Green Hills so the parking can be ridiculous sometimes and the line's can be long, that's Green Hills for ya...

Fresh produce and kind...","We bought a prime rib at Whole Foods in GreenHills yesterday morning 12/26th, it was over $300.00. 
We knew it would be costly because it was over 16...",5,4,1,1
"HLyfHwyEioeD-C3j8z-5bA","Porter Road supported the Germantown cleanup 4/23. They provided us hamburgers and hotdogs. I had the privilege of grilling them. The hamburgers are huge...","I have ordered from these folks several times, particularly during the height of COVID lockdowns. From shipments, I've tried everything from bacon to...","Let me preface this with the fact that I've been a PRB customer since they opened. 

If you want some frozen mail-order meat, than Porter Road is perfect...",5,4,2,1
"mmIF5p4HqyrKSs805mm1lA","I wouldn't usually leave a review for a grocery store but I just have to shout out the employees here.  I had a very uncomfortable situation where another...","I like this Trader Joe's. I think it can be a bit hectic literally on any given day since it is in Green Hills, but nevertheless, it is well stocked and...","Why does Trader Joe's have to be so far? I really like shopping at Trader Joe's but I only come when I don't mind fighting the traffic. Trader Joe's please...",5,4,5,1
"cvHY1RTAPSoH94ysP2_eyQ","They are similar to Whole Foods but smaller and even more focused on having the best stuff. I've really enjoyed their ready-made food so far and absolutely...","I bought a Veggie Burrito of the Day and it had Chicken in it. This was only the second time I got one so I expect others have likely dealt with the same...","So it's definitely not Whole Foods or any of these mega stores but since there are a few grocery stores in the area I would say this is a nice place.
I went...",5,1,4,1
