"","Year","LocationName","Geolocation","TotalPopulation","OBESITY","DEPRESSION","CANCER","CHOLSCREEN","CHD"
"1",2019,24421,"POINT (-79.20287232 38.26311557)",3868,32.1,22.1,8.1,91.3,6.3
"2",2019,50638,"POINT (-92.807367 42.3401733)",3313,34.7,15.7,9.3,90.2,7.1
"3",2019,77457,"POINT (-95.96576975 28.60311349)",651,40,21.1,10.1,92.2,11.4
"4",2019,98576,"POINT (-122.70257 46.89187014)",4667,36,29,7.4,88.4,5.8
"5",2019,2646,"POINT (-70.07158551 41.67102897)",1676,23.8,18.2,12.6,95.6,9.3
"6",2019,1937,"POINT (-70.98405081 42.58572329)",151,29.4,20,7.8,94.6,6.6
"7",2019,2919,"POINT (-71.51996472 41.82735323)",28790,29.6,22.3,8.5,92.4,6.7
"8",2019,1053,"POINT (-72.71095601 42.35347561)",1685,24.6,19.8,10.2,94.1,8
"9",2019,1129,"POINT (-72.48771722 42.12104607)",7019,28.9,21.7,7.5,90.9,6
"10",2019,1075,"POINT (-72.57921697 42.25675343)",17527,23,22.7,7.6,90,5.6
"11",2019,1253,"POINT (-73.111089 42.2141472)",731,25.6,21,8.4,92.4,6.3
"12",2019,2841,"POINT (-71.32154179 41.51767639)",1392,23.6,18.5,1.5,81.6,1.2
"13",2019,2111,"POINT (-71.05910467 42.35013318)",7383,16.6,16.4,4.5,85.2,4.7
"14",2019,2493,"POINT (-71.3001009 42.35892589)",11261,21.1,17.4,9,94.7,5.8
"15",2019,2149,"POINT (-71.05367435 42.4071881)",41550,27.8,21.1,6.2,88.3,5.6
"16",2019,2816,"POINT (-71.61973394 41.69088722)",32611,30.8,24.6,7.7,91.4,6.2
"17",2019,1467,"POINT (-71.61725951 42.4877837)",316,28.3,18.8,8.9,94.8,5.6
"18",2019,1375,"POINT (-72.55462911 42.46507763)",3684,25.1,22.8,5.6,87,4.1
"19",2019,1537,"POINT (-71.8914663 42.16156888)",2248,31.4,22.2,7.7,91,5.8
"20",2019,2672,"POINT (-70.320203 41.63507966)",180,25.5,19.7,11.3,94.2,9
"21",2019,1827,"POINT (-71.50052809 42.67642244)",3179,23.7,20.3,7.4,93.7,4.6
"22",2019,2138,"POINT (-71.13449506 42.38003166)",36314,18.7,19.2,4.8,87.1,3
"23",2019,1612,"POINT (-71.93073037 42.31035321)",4845,27.3,20.2,7.3,91,4.7
"24",2019,2128,"POINT (-71.015624 42.36281022)",40508,25.4,19.6,4.9,84.9,4.9
"25",2019,3034,"POINT (-71.31170698 43.06342215)",3970,29.7,20.4,7.2,92.1,5.2
"26",2019,1238,"POINT (-73.22891325 42.2952455)",6047,24.6,20.4,8.7,91.7,6.6
"27",2019,2911,"POINT (-71.4722105 41.84884925)",15574,29.8,23.2,7.3,90.3,5.9
"28",2019,1604,"POINT (-71.76773599 42.25144016)",34677,32.8,21,6.7,88.3,5.9
"29",2019,2534,"POINT (-70.60866726 41.66821158)",842,24.4,19.9,10.3,93.6,7.7
"30",2019,2364,"POINT (-70.74823061 41.98612051)",12629,26,19.3,8.2,92.1,5.7
"31",2019,1022,"POINT (-72.54269101 42.19730177)",2451,26.2,22.8,7.6,88.5,6.2
"32",2019,2465,"POINT (-71.22666049 42.34916073)",11710,21.5,17.9,8.2,94.1,4.9
"33",2019,1740,"POINT (-71.60726215 42.4361582)",4897,28.5,19.4,7.5,94.3,4.3
"34",2019,1255,"POINT (-73.12285507 42.10834234)",915,25.8,19.9,9,93.5,7.3
"35",2019,2453,"POINT (-71.24032244 42.36908988)",28968,22.1,19.5,5.3,87.9,3.8
"36",2019,1862,"POINT (-71.3099835 42.56107989)",10227,24,20.3,7,91.3,4.9
"37",2019,2858,"POINT (-71.647637 41.95967173)",570,30,24.6,6.3,91.2,4.6
"38",2019,2881,"POINT (-71.52347492 41.47888167)",7841,20.1,25.8,2.5,76.1,2
"39",2019,2762,"POINT (-71.33644834 42.0140851)",8264,22.7,19.9,7.3,91.7,4.7
"40",2019,1984,"POINT (-70.88267677 42.60080689)",4875,20.2,20,6.5,88.8,4.3
"41",2019,1118,"POINT (-72.52531192 42.09479313)",14071,28.3,22.2,7.5,90.5,6.3
"42",2019,1081,"POINT (-72.23098053 42.06231065)",1698,27.3,23.5,7.4,91.4,5.6
"43",2019,1835,"POINT (-71.08595237 42.75295118)",13682,26.3,20.9,6.6,90.2,5.1
"44",2019,2553,"POINT (-70.61380594 41.71370529)",226,24.3,20.4,9.7,92.6,7.3
"45",2019,2717,"POINT (-70.97167857 41.75873948)",4745,29.7,22.3,7.8,91.5,5.4
"46",2019,2630,"POINT (-70.30598247 41.69958374)",1850,22.7,18.7,11,95.1,7
"47",2019,2176,"POINT (-71.0590308 42.45560369)",26983,22.8,19.6,8.1,93.2,5.1
"48",2019,1109,"POINT (-72.54882748 42.11839795)",30250,35.2,22.1,5.1,85.3,6.2
"49",2019,1438,"POINT (-72.03100185 42.5615955)",559,31.7,22.5,7.4,90.4,5.8
"50",2019,2190,"POINT (-70.95272374 42.16644656)",16119,23.1,20.2,7.5,91.5,5.1
"51",2019,1886,"POINT (-71.44007132 42.58642149)",21951,21.9,18.6,7.2,94,4.3
"52",2019,1095,"POINT (-72.42996266 42.12766938)",14319,24.6,21,9.1,93.5,6.1
"53",2019,1340,"POINT (-72.71852721 42.68328297)",1701,29.4,23.3,8,90.9,6.5
"54",2019,1373,"POINT (-72.61562743 42.47295976)",4600,27.7,22.3,8.4,92.4,6
"55",2019,1507,"POINT (-71.96803226 42.13509474)",12981,30.5,21.4,7.5,91.6,5.2
"56",2019,2830,"POINT (-71.69041825 41.98902542)",5976,30.7,23.5,7.7,92.3,6.1
"57",2019,2134,"POINT (-71.12946911 42.35785863)",21503,17.3,19.4,2.8,82,2.4
"58",2019,1378,"POINT (-72.34581228 42.67479719)",774,30.5,23.7,8.2,91.7,6.9
"59",2019,2025,"POINT (-70.81987518 42.23545903)",7542,21.7,18.2,8.8,94.6,5.3
"60",2019,2664,"POINT (-70.19457492 41.67505238)",9371,24.5,19.6,10.8,93,8.2
"61",2019,2301,"POINT (-71.04223726 42.07791015)",61025,32.7,20.1,6.5,88,6.8
"62",2019,1267,"POINT (-73.23898968 42.6719945)",7989,20.9,19.8,7.9,88.7,5.9
"63",2019,1863,"POINT (-71.39054208 42.63238625)",8891,22.6,19.8,8,92.4,5.3
"64",2019,1072,"POINT (-72.41838688 42.45736369)",1478,28,22.2,7.2,93,4.8
"65",2019,2747,"POINT (-71.01627693 41.66782324)",22927,27.5,23.1,6.2,86.6,4.8
