zcta,mean_income
47552,642713
94027,482454
40025,480965
94021,474159
11005,450531
11765,444808
20129,441910
7078,413088
10007,409624
19035,409434
49752,407584
6820,404109
90077,396259
10282,393072
48440,391162
2030,379360
68952,374960
63073,373249
77010,373083
19085,368485
11568,368270
20184,364651
6878,362426
94022,359982
94028,354021
60602,352835
53047,351938
80649,350615
69340,350019
94024,347690
90272,345660
6853,342549
6831,341889
2481,341106
11030,340827
21665,340590
60043,338988
60093,337038
98039,336340
7935,336178
94105,335851
6840,335805
64165,334627
33109,329835
94920,329223
10514,328379
10504,327734
49060,327215
10506,326962
10577,326943
10004,325028
21056,325001
2468,324534
94563,323689
60022,323284
28207,323223
6880,322742
10271,322415.5
10278,322415.5
10279,322415.5
82922,320025
55356,319667
10580,318770
92145,318600
10576,315237
7760,314832
90402,314743
94507,314706
95030,313351
94957,312914
82925,312074
60521,311290
10583,311238
2493,308880
21737,308594
22101,308416
19437,308402
92657,308090
6870,307142
7021,305285
21153,304522
33480,300960
22066,300954
61037,300911
7046,300627
85253,300401
78116,299815
6883,298440
94528,297600
11976,296659
76092,295966
94074,295655
10013,294915
91008,293827
77005,293706
11724,293609
84144,293425
60029,292659
92067,292147
10538,291256
94586,290452
75225,289628
7458,289329
63124,288371
20818,286771
20816,285164
7928,284554
20817,283980
2110,283939
7931,283465
90210,283080
7311,282874
7620,282821
11576,282603
22480,282482
6890,281565
15142,280807
19066,279723
75205,279528
68461,278717
30327,278577
7704,278441
7043,278263
6897,277581
6830,277546
94301,275325
95070,274968
83025,273792
4110,273659
10526,273431
7423,271848
7028,271764
10510,271732
6903,271501
20854,270704
10597,270076
15450,269729
19319,269427
55424,269190
20815,268666
7739,268528
77401,268396
94062,268313
10024,267771
8836,267633
10546,267357
22207,267234
11560,267062
94506,266239
7945,265627
90265,265442
94010,264264
10065,264139
2420,264130
36754,262615
95942,262244
94940,261521
2482,261461
60045,260838
43432,260753
21794,260273
1773,258590
91011,258391
90274,257930
10022,257537
95442,256748
19025,256508
44040,256342
2108,256003
11797,255736
65054,255418
94070,254809
70067,254808
60091,254677
92625,254450
94123,253801
7417,253362
10804,253155
46290,253020
94025,252939
11545,252842
91436,252366
63131,252216
2459,252054
93108,251866
10280,251759
3854,251185
10803,251013
45174,250819
92661,250523
22027,250286
22039,249666
7450,248848
49116,248845
20016,247621
94549,247408
29482,247172
7059,247154
7924,246828
20777,246578
10536,246529
94941,246206
7401,246173
7901,243821
90266,243789
94904,243181
95120,243160
7632,242530
94708,242387
94304,242185
33149,242022
11753,242005
37350,241946
8558,241894
1770,241886
98040,241738
78733,241690
10075,241307
7670,240978
91302,240688
20015,240225
26146,240208
92861,240160
20896,240132
2210,239943
2492,239712
60558,239352
7627,239096
94946,239034
11579,238924
93066,238382
8502,238226
10502,238206
10533,238039
1778,237882
92014,237815
55391,237803
10021,237726
1890,237695
8327,237640
57344,237432
7922,236191
1776,236123
10518,235456
81222,235121
8550,235100
90094,234855
72585,234804
79353,234633
1741,234371
20759,234355
94971,234246
20143,233871
18977,233722
22124,233423
95138,232835
8535,232801
1921,232525
73151,232506
