"zcta","tot_pop","white","black","alaskan_native","asian","pacific_islan","other","mixed_race"
"00601",16773,12235,255,21,2,0,3703,1114
"00602",37083,28378,993,112,17,0,1177,12812
"00603",45652,35612,1630,76,30,14,6273,4034
"00606",6231,3159,96,22,0,0,2707,494
"00610",26502,20023,448,0,0,1,1569,8922
"00612",58771,39173,2394,36,535,0,11915,9436
"00616",9688,6650,763,0,59,0,1411,1610
"00617",23771,16676,805,0,154,0,3811,4650
"00622",6505,1716,45,0,0,0,4191,1106
"00623",41472,10117,774,110,129,0,27497,5690
"00624",21031,14802,669,0,24,0,4907,1258
"00627",31066,28157,471,0,0,0,1895,1086
"00631",1481,1095,0,0,0,0,386,0
"00637",21957,13948,406,69,5,0,6674,1710
"00638",16018,13443,242,149,13,0,613,3116
"00641",26383,11821,256,0,15,0,13697,1188
"00646",36538,24676,4217,0,52,0,2183,10820
"00647",5708,2770,333,0,0,0,2438,334
"00650",13869,10049,265,0,110,0,2429,2032
"00652",3624,2711,66,0,39,0,457,702
"00653",10117,5549,521,23,0,0,3693,662
"00656",17984,13773,284,0,127,0,3379,842
"00659",39561,36220,562,0,25,0,1699,2110
"00660",15731,3377,419,0,0,0,11533,804
"00662",39017,23689,2721,19,0,0,11028,3120
"00664",14405,7302,385,43,0,0,6087,1176
"00667",22721,6024,249,0,0,0,15645,1606
"00669",24022,17086,299,0,0,0,6242,790
"00670",8051,4004,83,0,0,0,3568,792
"00674",38218,28740,1471,29,141,0,4516,6642
"00676",35621,28644,1438,0,27,0,4322,2380
"00677",13949,10081,90,0,0,0,495,6566
"00678",24997,21101,634,25,0,0,2555,1364
"00680",44904,10957,1352,184,0,3,31342,2132
"00682",30212,7931,981,0,5,0,20014,2562
"00683",28710,16753,470,19,8,22,10539,1798
"00685",36546,22689,1356,0,108,0,10613,3560
"00687",30652,24401,874,37,0,0,1650,7380
"00688",11355,7308,195,26,94,0,3574,316
"00690",5900,4771,125,0,0,0,494,1020
"00692",34857,21129,2915,0,0,0,6765,8096
"00693",52220,38550,2826,47,8,1,6260,9056
